Site,Observed,Predicted
2807,13,16.155536441553885
2808,23,15.926309430109491
2814,10,16.56025475295796
2815,9,15.602116729315268
2816,20,15.615694691918044
2817,17,15.728124758939774
2818,12,15.574255001184374
2819,17,15.514369781698347
2820,11,17.583378557734523
2821,20,17.42047542455319
2822,13,17.330960496236433
2823,10,17.393475160438488
2824,11,17.858123502599533
2825,9,17.311150498824457
2831,9,15.818164145418995
2832,10,16.115159284914075
2833,10,15.845870625178195
2834,3,15.85677073406521
2835,18,16.116982736049888
2836,12,15.630577793800692
2837,16,15.49041954539233
2838,12,15.536073140968375
2839,11,15.329522455912583
2840,5,15.730111874170571
2841,17,15.297890090006058
2842,15,16.124354550639595
2843,2,16.5527806694116
2844,16,16.671030184555256
2845,14,16.81126037114472
2846,5,16.614842925896518
2847,17,16.441399781685266
2860,7,16.55204996563093
2861,15,16.235254258326282
2862,12,16.20595792734943
2863,3,16.54422069934153
2864,20,16.179487636542014
2865,9,16.441798464465933
2866,16,16.522787639846385
2867,18,16.18692075242416
2868,8,16.052623614158446
2869,13,16.300009622865073
2870,3,16.136836268202995
2871,13,16.330505599150705
2872,18,16.45452609985093
2873,10,16.273433979029033
2874,4,16.17101228275354
2875,17,15.6170755865283
2876,5,15.635935222777965
2877,8,15.608954195692924
2878,10,15.55164864122333
2879,12,15.667563715644459
2880,20,13.518264220182441
2881,6,13.563712809265498
2882,10,13.17845843449985
2883,20,13.476568417155898
2884,12,13.512581233575025
2885,2,13.60266879280601
2886,15,16.129511306201714
2887,18,16.150802737455603
2888,11,16.09248316179241
2889,14,16.35559966320702
2890,13,16.14221486143462
2891,4,17.067750972418544
2892,18,17.228155022712865
2893,22,17.121269439910396
2894,6,17.147041306669124
2895,13,17.363192580515747
2896,16,17.262641718362737
2902,12,16.312780155267955
2903,8,15.715618223180758
2904,8,15.606697963493462
2905,5,16.080757880936563
2906,5,15.444213051615924
2907,17,18.50181076494313
2908,19,18.242682417258237
2909,4,18.425193898910184
2910,9,18.544221253784855
2911,20,18.412801267455947
2912,19,18.336536468564645
2918,12,16.86942194409529
2919,3,16.992323419011775
2920,7,16.922305573309163
2921,20,16.701626275679143
2922,20,16.737282154329172
2927,1,16.584028862169138
2928,13,16.127123373016552
2929,19,16.102963088755068
2930,15,15.756323172104414
2931,10,15.846631179632446
2932,14,16.174776967990432
2977,20,16.77060317139315
2978,5,16.47068188475995
2979,12,17.17557724155089
2980,7,16.793943310400675
2981,8,17.04739088884241
